BOROUGH,BUILDING CLASS CATEGORY,COMMERCIAL UNITS,GROSS SQUARE FEET,SALE PRICE,LAND SQUARE FEET,RESIDENTIAL UNITS
Manhattan,03 THREE FAMILY DWELLINGS,0,3072,2137500,1682,3
Manhattan,01 ONE FAMILY DWELLINGS,0,2370,4600000,1386,1
Manhattan,01 ONE FAMILY DWELLINGS,1,4140,4800000,1858,1
Manhattan,14 RENTALS - 4-10 UNIT,1,8727,1630000,2466,5
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3479,2525000,1599,6
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,6154,3050000,1817,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4774,3750000,1700,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3059,2400000,1399,10
Manhattan,02 TWO FAMILY DWELLINGS,0,3460,2380000,1665,2
Manhattan,41 TAX CLASS 4 - OTHER,11,4584,3006270,1975,1
Manhattan,02 TWO FAMILY DWELLINGS,0,4216,3100000,1870,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2652,1100000,1665,5
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4166,3675000,1890,9
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,13546,388389,3445,22
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2499,700000,1665,8
Manhattan,14 RENTALS - 4-10 UNIT,1,3840,4000000,1300,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,7228,1900000,6164,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2688,1900000,934,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2646,2450000,1549,6
Manhattan,02 TWO FAMILY DWELLINGS,0,3440,1638905,1274,2
Manhattan,01 ONE FAMILY DWELLINGS,0,1440,739000,938,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,19056,3700000,4580,24
Manhattan,01 ONE FAMILY DWELLINGS,0,1880,3075000,469,1
Manhattan,23 LOFT BUILDINGS,2,10298,1475000,2342,5
Manhattan,02 TWO FAMILY DWELLINGS,0,3712,3450000,1615,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4734,3870400,1683,6
Manhattan,22 STORE BUILDINGS,1,1500,1825000,2500,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4706,2275000,1799,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,8765,565000,2375,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2649,2075000,1699,7
Manhattan,01 ONE FAMILY DWELLINGS,0,3680,3468750,1975,1
Manhattan,22 STORE BUILDINGS,1,2822,4500000,795,0
Manhattan,03 THREE FAMILY DWELLINGS,0,3080,1200134,1449,3
Manhattan,03 THREE FAMILY DWELLINGS,0,2970,2400000,2348,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,15516,360000,3964,19
Manhattan,01 ONE FAMILY DWELLINGS,0,2475,2300000,1232,1
Manhattan,02 TWO FAMILY DWELLINGS,0,4180,1825000,1892,2
Manhattan,14 RENTALS - 4-10 UNIT,1,5100,4850000,2008,5
Manhattan,03 THREE FAMILY DWELLINGS,0,3036,1900000,2304,3
Manhattan,22 STORE BUILDINGS,2,2014,1788000,2265,0
Manhattan,02 TWO FAMILY DWELLINGS,0,3000,2425000,1665,2
Manhattan,11 SPECIAL CONDO BILLING LOTS,0,19429,1399000,2550,17
Manhattan,35 INDOOR PUBLIC AND CULTURAL FACILITIES,4,5540,3750000,2071,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,9624,3200000,2595,9
Manhattan,14 RENTALS - 4-10 UNIT,1,6350,3200000,2018,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,3,14650,4020822,2775,20
Manhattan,22 STORE BUILDINGS,3,5924,4020822,2600,1
Manhattan,01 ONE FAMILY DWELLINGS,0,1528,375000,1254,1
Manhattan,02 TWO FAMILY DWELLINGS,0,4000,4900000,1661,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2880,3650000,900,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,9340,400000,2375,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,6940,565110,2188,8
Manhattan,01 ONE FAMILY DWELLINGS,0,3000,1800000,1665,1
Manhattan,11 SPECIAL CONDO BILLING LOTS,0,19429,1075000,2550,17
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,9790,900000,2605,15
Manhattan,14 RENTALS - 4-10 UNIT,1,3640,3150000,1883,6
Manhattan,02 TWO FAMILY DWELLINGS,1,5248,4800000,1400,2
Manhattan,03 THREE FAMILY DWELLINGS,0,4437,4000000,1716,3
Manhattan,22 STORE BUILDINGS,2,3988,4000000,2325,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,5787,2940000,1716,10
Manhattan,03 THREE FAMILY DWELLINGS,0,3476,2300000,1665,3
Manhattan,02 TWO FAMILY DWELLINGS,0,3416,2300000,1873,2
Manhattan,03 THREE FAMILY DWELLINGS,0,3200,2200000,1599,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,6005,1030000,1850,7
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,6100,1071000,2348,5
Manhattan,03 THREE FAMILY DWELLINGS,0,4593,2600000,1799,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,7892,1200000,2138,12
Manhattan,03 THREE FAMILY DWELLINGS,0,4572,531527,1799,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3340,3450000,1950,4
Manhattan,03 THREE FAMILY DWELLINGS,0,3060,2640000,1682,3
Manhattan,02 TWO FAMILY DWELLINGS,0,3328,2000000,1248,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,7445,4650000,2321,15
Manhattan,14 RENTALS - 4-10 UNIT,1,4256,2650000,1508,6
Manhattan,02 TWO FAMILY DWELLINGS,0,3896,2725000,1499,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,6094,4450000,2008,10
Manhattan,14 RENTALS - 4-10 UNIT,1,3500,2950000,2000,6
Manhattan,01 ONE FAMILY DWELLINGS,0,4947,3450000,2018,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,14347,1550000,4337,7
Manhattan,01 ONE FAMILY DWELLINGS,0,3935,2421900,2141,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3488,4600000,1635,5
Manhattan,01 ONE FAMILY DWELLINGS,0,1736,1825000,2500,1
Manhattan,14 RENTALS - 4-10 UNIT,1,4520,2020000,1460,3
Manhattan,01 ONE FAMILY DWELLINGS,1,3000,3400000,1296,1
Manhattan,22 STORE BUILDINGS,2,4550,1542879,2500,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,10195,4317000,2243,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,9345,4180000,2183,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,12995,4480000,3402,20
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,12585,4946000,3420,20
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,5915,1183000,1584,5
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,9470,2630000,3031,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,9470,2740000,2950,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,10710,2874000,2875,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,10710,3150000,2779,10
Manhattan,02 TWO FAMILY DWELLINGS,1,3744,2100000,1650,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2991,1050000,1732,6
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,12300,260000,3042,18
Manhattan,22 STORE BUILDINGS,4,9075,831250,1932,2
Manhattan,02 TWO FAMILY DWELLINGS,0,3096,775000,1881,2
Manhattan,03 THREE FAMILY DWELLINGS,0,4400,2150000,2220,3
Manhattan,01 ONE FAMILY DWELLINGS,0,2584,3845000,725,1
Manhattan,01 ONE FAMILY DWELLINGS,0,1914,945000,2248,1
Manhattan,02 TWO FAMILY DWELLINGS,0,3332,1075000,1665,2
Manhattan,02 TWO FAMILY DWELLINGS,0,3080,4050000,1480,2
Manhattan,22 STORE BUILDINGS,2,2588,2900000,1294,0
Manhattan,14 RENTALS - 4-10 UNIT,2,3000,2300000,1000,6
Manhattan,14 RENTALS - 4-10 UNIT,2,5275,4575000,2352,6
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,6048,3150000,1529,9
Manhattan,02 TWO FAMILY DWELLINGS,0,3080,3700000,1407,2
Manhattan,02 TWO FAMILY DWELLINGS,0,3952,2647000,2081,2
Manhattan,02 TWO FAMILY DWELLINGS,0,2655,650000,2975,2
Manhattan,14 RENTALS - 4-10 UNIT,1,6099,1637875,1394,3
Manhattan,01 ONE FAMILY DWELLINGS,0,2984,4950000,910,1
Manhattan,02 TWO FAMILY DWELLINGS,0,3456,4687500,1761,2
Manhattan,01 ONE FAMILY DWELLINGS,0,3080,4950000,1480,1
Manhattan,02 TWO FAMILY DWELLINGS,0,3852,3400000,3197,2
Manhattan,14 RENTALS - 4-10 UNIT,1,4890,3700000,1839,6
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2622,1785000,1749,4
Manhattan,22 STORE BUILDINGS,1,3000,3000000,2625,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,6515,1600000,2640,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,4200,2600000,1003,15
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,4020,2600000,1003,6
Manhattan,02 TWO FAMILY DWELLINGS,0,1425,1589000,673,2
Manhattan,03 THREE FAMILY DWELLINGS,0,4410,1450000,5167,3
Manhattan,02 TWO FAMILY DWELLINGS,0,3456,4650000,1888,2
